node_id,BoroCT2010
1126,3058000
1127,3058200
1128,3058400
1129,3058600
1130,3058800
1131,3058900
1132,3059000
1133,3059100
1134,3059200
1135,3059300
1136,3059401
1137,3059402
1138,3059600
1139,3059800
1140,3060000
1141,3060600
1142,3060800
1143,3061002
1144,3061003
1145,3061004
1146,3061200
1147,3061600
1148,3062000
1149,3062200
1150,3062600
1151,3062800
1152,3063200
1153,3063600
1154,3063800
1155,3064000
1156,3064200
1157,3064400
1158,3064600
1159,3064800
1160,3065000
1161,3065200
1162,3065400
1163,3065600
1164,3065800
1165,3066000
1166,3066200
1167,3066600
1168,3067000
1169,3067200
1170,3067400
1171,3067600
1172,3067800
1173,3068000
1174,3068200
1175,3068600
1176,3068800
1177,3069000
1178,3069200
1179,3069601
1180,3069602
1181,3069800
1182,3070000
1183,3070201
1184,3070202
1185,3070203
1186,3070600
1187,3072000
1188,3072200
1189,3072400
1190,3072600
1191,3072800
1192,3073000
1193,3073200
1194,3073400
1195,3073600
1196,3073800
1197,3074000
1198,3074200
1199,3074400
1200,3074600
1201,3074800
1202,3075000
1203,3075200
1204,3075400
1205,3075600
1206,3075800
1207,3076000
1208,3076200
1209,3076400
1210,3076600
1211,3076800
1212,3077000
1213,3077200
1214,3077400
1215,3077600
1216,3078000
1217,3078200
1218,3078400
1219,3078600
1220,3078800
1221,3079000
1222,3079200
1223,3079400
1224,3079601
1225,3079602
1226,3079801
1227,3079802
1228,3080000
1229,3080200
1230,3080400
1231,3080600
1232,3080800
1233,3081000
1234,3081400
1235,3081600
1236,3081800
1237,3082000
1238,3082200
1239,3082400
1240,3082600
1241,3082800
1242,3083000
1243,3083200
1244,3083400
1245,3083600
1246,3083800
1247,3084000
1248,3084600
1249,3084800
1250,3085000
1251,3085200
1252,3085400
1253,3085600
1254,3085800
1255,3086000
1256,3086200
1257,3086400
1258,3086600
1259,3086800
1260,3087000
1261,3087200
1262,3087401
1263,3087600
1264,3087800
1265,3088000
1266,3088200
1267,3088400
1268,3088600
1269,3088800
1270,3089000
1271,3089200
1272,3089400
1273,3089600
1274,3089800
1275,3090000
1276,3090200
1277,3090600
1278,3090800
1279,3091000
1280,3091200
1281,3091600
1282,3091800
1283,3092000
1284,3092200
1285,3092400
1286,3092800
1287,3093000
1288,3093200
1289,3093400
1290,3093600
1291,3093800
1292,3094401
1293,3094402
1294,3094600
1295,3095000
1296,3095400
1297,3095600
1298,3095800
1299,3096000
1300,3096200
1301,3096400
1302,3096600
1303,3096800
1304,3097000
1305,3097400
1306,3098200
1307,3098400
1308,3098600
1309,3098800
1310,3099000
1311,3099200
1312,3099400
1313,3099600
1314,3099800
1315,3100400
1316,3100600
1317,3100800
1318,3101000
1319,3101200
1320,3101400
1321,3101600
1322,3101800
1323,3102000
1324,3102200
1325,3102400
1326,3102600
1327,3102800
1328,3103400
1329,3105801
1330,3105804
1331,3107000
1332,3107800
1333,3109800
1334,3110400
1335,3110600
1336,3111000
1337,3111600
1338,3111800
1339,3112000
1340,3112200
1341,3112400
1342,3112600
1343,3112800
1344,3113000
1345,3113200
1346,3113400
1347,3114201
1348,3114202
1349,3114400
1350,3114600
1351,3115000
1352,3115200
1353,3115600
1354,3115800
1355,3116000
1356,3116200
1357,3116400
1358,3116600
1359,3116800
1360,3117000
1361,3117201
1362,3117202
1363,3117400
1364,3117601
1365,3117602
1366,3117800
1367,3118000
1368,3118201
1369,3118202
1370,3118400
1371,3118600
1372,3118800
1373,3119000
1374,3119200
1375,3119400
1376,3119600
1377,3119800
1378,3120000
1379,3120200
1380,3120800
1381,3121000
1382,3121400
1383,3122000
1384,3123700
1385,3150200
1386,3152200
1387,3990100
1388,4000100
1389,4000200
1390,4000400
1391,4000600
1392,4000700
1393,4000800
1394,4001000
1395,4001200
1396,4001400
1397,4001600
1398,4001800
1399,4001900
1400,4002000
1401,4002200
1402,4002400
1403,4002500
1404,4002600
1405,4002800
1406,4003000
1407,4003100
1408,4003200
1409,4003300
1410,4003400
1411,4003600
1412,4003700
1413,4003800
1414,4003900
1415,4004001
1416,4004002
1417,4004200
1418,4004300
1419,4004401
1420,4004500
1421,4004700
1422,4005000
1423,4005100
1424,4005200
1425,4005300
1426,4005400
1427,4005500
1428,4005700
1429,4005800
1430,4005900
1431,4006100
1432,4006201
1433,4006202
1434,4006300
1435,4006501
1436,4006502
1437,4006900
1438,4007100
1439,4007300
1440,4007500
1441,4007700
1442,4007900
1443,4008100
1444,4008300
1445,4008500
1446,4008600
1447,4008700
1448,4008800
1449,4009100
1450,4009400
1451,4009500
1452,4009600
1453,4009700
1454,4009800
1455,4009900
1456,4010000
1457,4010100
1458,4010200
1459,4010300
1460,4010400
1461,4010500
1462,4010600
1463,4010701
1464,4010800
1465,4011000
1466,4011100
1467,4011200
1468,4011300
1469,4011400
1470,4011500
1471,4011600
1472,4011700
1473,4011800
1474,4011900
1475,4012000
1476,4012100
1477,4012200
1478,4012301
1479,4012400
1480,4012500
1481,4012601
1482,4012602
1483,4012800
1484,4013000
1485,4013200
1486,4013400
1487,4013500
1488,4013600
1489,4013700
1490,4013800
1491,4014000
1492,4014100
1493,4014201
1494,4014202
1495,4014300
1496,4014400
1497,4014500
1498,4014700
1499,4014800
1500,4014900
1501,4015000
1502,4015100
1503,4015200
1504,4015300
1505,4015400
1506,4015500
1507,4015600
1508,4015700
1509,4015801
1510,4015802
1511,4015900
1512,4016100
1513,4016300
1514,4016400
1515,4016600
1516,4016800
1517,4016900
1518,4017000
1519,4017100
1520,4017200
1521,4017400
1522,4017600
1523,4017800
1524,4017900
1525,4018000
1526,4018101
1527,4018102
1528,4018200
1529,4018300
1530,4018401
1531,4018402
1532,4018501
1533,4018502
1534,4018600
1535,4018700
1536,4018800
1537,4018900
1538,4019000
1539,4019200
1540,4019400
1541,4019600
1542,4019800
1543,4019900
1544,4020200
1545,4020400
1546,4020500
1547,4020600
1548,4020800
1549,4021200
1550,4021400
1551,4021600
1552,4021900
1553,4022001
1554,4022002
1555,4022900
1556,4023000
1557,4023200
1558,4023500
1559,4023600
1560,4023800
1561,4024000
1562,4024300
1563,4024500
1564,4024600
1565,4024700
1566,4024900
1567,4025100
1568,4025301
1569,4025302
1570,4025400
1571,4025500
1572,4025700
1573,4025800
1574,4025900
1575,4026000
1576,4026100
1577,4026200
1578,4026300
1579,4026400
1580,4026500
1581,4026600
1582,4026700
1583,4026901
1584,4026902
1585,4027000
1586,4027100
1587,4027200
1588,4027300
1589,4027400
1590,4027500
1591,4027600
1592,4027700
1593,4027800
1594,4027900
1595,4028000
1596,4028100
1597,4028200
1598,4028300
1599,4028400
1600,4028500
1601,4028700
1602,4028800
1603,4028900
1604,4029100
1605,4029300
1606,4029400
1607,4029500
1608,4029700
1609,4029900
1610,4030600
1611,4030902
1612,4030903
1613,4030904
1614,4031700
1615,4032000
1616,4032700
1617,4032800
1618,4032900
1619,4033000
1620,4033100
1621,4033401
1622,4033402
1623,4033700
1624,4033900
1625,4034700
1626,4035100
1627,4035200
1628,4035300
1629,4035700
1630,4035800
1631,4036100
1632,4036300
1633,4036500
1634,4036600
1635,4036700
1636,4036800
1637,4037100
1638,4037300
1639,4037500
1640,4037600
1641,4037700
1642,4037900
1643,4038100
1644,4038301
1645,4038302
1646,4038400
1647,4039400
1648,4039800
1649,4039900
1650,4040000
1651,4040100
1652,4040200
1653,4040300
1654,4040400
1655,4040500
1656,4040700
1657,4040900
1658,4041100
1659,4041300
1660,4041400
1661,4041500
1662,4042400
1663,4042600
1664,4042700
1665,4043200
1666,4043400
1667,4043701
1668,4043702
1669,4043900
1670,4044000
1671,4044301
1672,4044302
1673,4044400
1674,4044601
1675,4044602
1676,4044800
1677,4045000
1678,4045200
1679,4045400
1680,4045500
1681,4045600
1682,4045700
1683,4045800
1684,4045900
1685,4046000
1686,4046100
1687,4046200
1688,4046300
1689,4046400
1690,4046500
1691,4046600
1692,4046700
1693,4046800
1694,4046900
1695,4047000
1696,4047100
1697,4047200
1698,4047300
1699,4047500
1700,4047600
1701,4047800
1702,4047900
1703,4048000
1704,4048100
1705,4048200
1706,4048300
1707,4048400
1708,4048500
1709,4048900
1710,4049200
1711,4049301
1712,4049302
1713,4049500
1714,4049600
1715,4049700
1716,4049900
1717,4050000
1718,4050201
1719,4050202
1720,4050400
1721,4050500
1722,4050600
1723,4050700
1724,4050800
1725,4051000
1726,4051100
1727,4051200
1728,4051300
1729,4051500
1730,4051600
1731,4051700
1732,4051800
1733,4052000
1734,4052100
1735,4052200
1736,4052400
1737,4052500
1738,4052600
1739,4052800
1740,4053000
1741,4053100
1742,4053200
1743,4053401
1744,4053500
1745,4053601
1746,4053800
1747,4053900
1748,4054000
1749,4054200
1750,4054500
1751,4054700
1752,4054800
1753,4054900
1754,4055100
1755,4055200
1756,4055300
1757,4055400
1758,4055500
1759,4055600
1760,4055700
1761,4055800
1762,4055900
1763,4056000
1764,4056100
1765,4056200
1766,4056400
1767,4056500
1768,4056600
1769,4056700
1770,4056800
1771,4057700
1772,4057900
1773,4058000
1774,4058100
1775,4058200
1776,4058300
1777,4058500
1778,4058700
1779,4058900
1780,4059000
1781,4059100
1782,4059200
1783,4059300
1784,4059400
1785,4059500
1786,4059600
1787,4059800
1788,4059900
1789,4060000
1790,4060100
1791,4060300
1792,4060600
1793,4060701
1794,4060800
1795,4061000
1796,4061200
1797,4061301
1798,4061302
1799,4061400
1800,4061601
1801,4061602
1802,4061800
1803,4061900
1804,4062000
1805,4062100
1806,4062200
1807,4062300
1808,4062400
1809,4062500
1810,4062600
1811,4062700
1812,4062900
1813,4063000
1814,4063200
1815,4063301
1816,4063302
1817,4063500
1818,4063700
1819,4063800
1820,4063900
1821,4064101
1822,4064102
1823,4064500
1824,4064600
1825,4065000
1826,4065400
1827,4065501
1828,4065600
1829,4065702
1830,4065703
1831,4065900
1832,4066000
1833,4066100
1834,4066300
1835,4066400
1836,4066501
1837,4066701
1838,4066900
1839,4067100
1840,4067700
1841,4067900
1842,4068000
1843,4068200
1844,4068300
1845,4068700
1846,4069000
1847,4069300
1848,4069400
1849,4069500
1850,4069701
1851,4069702
1852,4070300
1853,4070700
1854,4070900
1855,4071100
1856,4071303
1857,4071304
1858,4071305
1859,4071306
1860,4071600
1861,4071701
1862,4071702
1863,4071900
1864,4072100
1865,4072300
1866,4072900
1867,4073100
1868,4073700
1869,4073900
1870,4074100
1871,4074300
1872,4074500
1873,4074700
1874,4074900
1875,4075701
1876,4075702
1877,4076901
1878,4076902
1879,4077300
1880,4077500
1881,4077902
1882,4077903
1883,4077904
1884,4077905
1885,4077906
1886,4077907
1887,4077908
1888,4078800
1889,4079000
1890,4079200
1891,4079300
1892,4079701
1893,4079702
1894,4079900
1895,4080301
1896,4080302
1897,4080900
1898,4081400
1899,4081800
1900,4083700
1901,4083800
1902,4084000
1903,4084500
1904,4084601
1905,4084602
1906,4084900
1907,4085300
1908,4085500
1909,4085700
1910,4085900
1911,4086100
1912,4086300
1913,4086400
1914,4086500
1915,4086900
1916,4087100
1917,4088400
1918,4088901
1919,4089200
1920,4090700
1921,4091601
1922,4091602
1923,4091800
1924,4091900
1925,4092200
1926,4092500
1927,4092800
1928,4092900
1929,4093401
1930,4093402
1931,4093800
1932,4093900
1933,4094201
1934,4094202
1935,4094203
1936,4094500
1937,4094700
1938,4095400
1939,4096400
1940,4097202
1941,4097203
1942,4097204
1943,4097300
1944,4098100
1945,4098700
1946,4099100
1947,4099200
1948,4099701
1949,4099703
1950,4099704
1951,4099705
1952,4099801
1953,4099802
1954,4099900
1955,4100801
1956,4100802
1957,4101001
1958,4101002
1959,4101700
1960,4102900
1961,4103201
1962,4103202
1963,4103300
1964,4103900
1965,4104700
1966,4105900
1967,4107201
1968,4107202
1969,4108500
1970,4109300
1971,4109700
1972,4109900
1973,4111300
1974,4112300
1975,4112900
1976,4113300
1977,4113900
1978,4114100
1979,4114700
1980,4115100
1981,4115500
1982,4115700
1983,4115900
1984,4116100
1985,4116300
1986,4116700
1987,4117100
1988,4117500
1989,4118100
1990,4118500
1991,4118700
1992,4118900
1993,4119100
1994,4119300
1995,4119500
1996,4119900
1997,4120100
1998,4120300
1999,4120500
2000,4120700
2001,4121100
2002,4121500
2003,4122300
2004,4122701
2005,4122702
2006,4124100
2007,4124700
2008,4125700
2009,4126500
2010,4126700
2011,4127700
2012,4128300
2013,4129102
2014,4129103
2015,4129104
2016,4130100
2017,4133300
2018,4133900
2019,4134100
2020,4134700
2021,4136700
2022,4137700
2023,4138501
2024,4138502
2025,4139900
2026,4140300
2027,4140901
2028,4140902
2029,4141700
2030,4142900
2031,4143500
2032,4144100
2033,4144700
2034,4145101
2035,4145102
2036,4145900
2037,4146300
2038,4146700
2039,4147100
2040,4147900
2041,4148300
2042,4150701
2043,4150702
2044,4152901
2045,4152902
2046,4155101
2047,4155102
2048,4156700
2049,4157101
2050,4157102
2051,4157901
2052,4157902
2053,4157903
2054,4161700
2055,4162100
2056,4990100
2057,5000300
2058,5000600
2059,5000700
2060,5000800
2061,5000900
2062,5001100
2063,5001700
2064,5001800
2065,5002001
2066,5002002
2067,5002100
2068,5002700
2069,5002900
2070,5003300
2071,5003600
2072,5003900
2073,5004000
2074,5004700
2075,5005000
2076,5005900
2077,5006400
2078,5006700
2079,5007000
2080,5007400
2081,5007500
2082,5007700
2083,5008100
2084,5008900
2085,5009601
2086,5009602
2087,5009700
2088,5010500
2089,5011201
2090,5011202
2091,5011401
2092,5011402
2093,5012100
2094,5012200
2095,5012500
2096,5012804
2097,5012805
2098,5012806
2099,5013201
2100,5013203
2101,5013204
2102,5013301
2103,5013302
2104,5013400
2105,5013800
2106,5014100
2107,5014604
2108,5014605
2109,5014606
2110,5014607
2111,5014608
2112,5014700
2113,5015100
2114,5015400
2115,5015601
2116,5015602
2117,5015603
2118,5016901
2119,5017005
2120,5017007
2121,5017008
2122,5017009
2123,5017010
2124,5017011
2125,5017012
2126,5017300
2127,5017600
2128,5017700
2129,5018100
2130,5018701
2131,5018702
2132,5018901
2133,5018902
2134,5019700
2135,5019800
2136,5020100
2137,5020700
2138,5020801
2139,5020803
2140,5020804
2141,5021300
2142,5022300
2143,5022600
2144,5022800
2145,5023100
2146,5023900
2147,5024401
2148,5024402
2149,5024700
2150,5024800
2151,5025100
2152,5027301
2153,5027302
2154,5027702
2155,5027704
2156,5027705
2157,5027706
2158,5027900
2159,5029102
2160,5029103
2161,5029104
2162,5030301
2163,5030302
2164,5031901
2165,5031902
2166,5032300
2167,5990100
